year,week,Occupancy rate,G&A beds occ'd,G&A Beds Open,G&A beds unavailable to non-covid admissions “void”,CC Adult Open,CC Adult Occ,Critical care beds occupancy rate,No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),No. beds occupied by flu patients (G&A),No. beds occupied by flu patients (Critical Care),Closures,Diverts,Delays30,Delays60,No. unoccupied beds closed due to norovirus etc.
2021-22,8,0.9224817513987432,90305.42857142857,97894,NA,4053.714285714286,3052.285714285714,0.7529602480969834,44719.57142857143,17153.85714285714,34.142857142857146,2.4285714285714284,0,3.142857142857143,1581.4285714285713,1061.4285714285713,NA
2021-22,9,0.9248069115934852,90437,97790.14285714286,NA,4065.714285714286,3043.5714285714284,0.7485945186226282,44643.71428571428,17160.285714285714,48.42857142857143,4.428571428571429,0,3.2857142857142856,1589.5714285714287,1096,NA
2021-22,10,0.925297374447587,90390.71428571429,97688.28571428571,NA,4065.5714285714284,3031,0.745528655258442,44488.28571428572,17164.14285714286,65.42857142857143,7.428571428571429,0,2.7142857142857144,1655.2857142857142,1241,NA
2021-22,11,0.9240571285714495,90293.71428571429,97714.42857142857,NA,4073.5714285714284,3042.1428571428573,0.7467999298614765,44980.857142857145,17296,94,7.571428571428571,0,3.142857142857143,1573.4285714285713,1226.2857142857142,NA
2021-22,12,0.9198584046809538,89204.71428571429,96976.57142857143,NA,4049.4285714285716,3049.5714285714284,0.753086855288224,45364.71428571428,17469,110.71428571428571,9.857142857142858,0,3,1689.4285714285713,1317.857142857143,NA
2021-22,13,0.9248623281114139,90259.42857142857,97592.28571428571,NA,4058,3070.8571428571427,0.7567415334788424,45823.71428571428,17853.285714285714,129.14285714285714,11.714285714285714,0,2.857142857142857,1637.142857142857,1424.5714285714287,NA
2021-22,48,0.927784963033468,89259.14285714286,96206.71428571429,NA,4121.714285714285,3319.8571428571427,0.8054554276999861,42068.71428571428,15136.57142857143,31.428571428571427,2.5714285714285716,0,3.5714285714285716,1593.5714285714287,1173,NA
2021-22,49,0.9326413388409239,90184.28571428571,96697.71428571429,NA,4148.142857142857,3342.4285714285716,0.8057650583737991,42874.42857142857,15289.57142857143,24.714285714285715,0.7142857142857143,0,4,1586,1200.142857142857,NA
2021-22,50,0.9212892954270376,88949.42857142857,96548.85714285714,NA,4145.428571428572,3309.714285714286,0.7984009924874216,43289.857142857145,15316.857142857143,30,2.4285714285714284,0,1.8571428571428572,1469.4285714285713,874.8571428571429,NA
2021-22,51,0.8602424583646329,81634.42857142857,94897,NA,4079.285714285714,3058,0.74964104360007,39747.857142857145,14586.857142857143,32.42857142857143,2,0,2.142857142857143,1163.142857142857,420.85714285714283,NA
2021-22,52,0.8804989793603991,83188.28571428571,94478.57142857143,NA,4084.8571428571427,3037.1428571428573,0.7435126250262294,40795.142857142855,15388.57142857143,37.57142857142857,1.5714285714285714,0,3,1546.7142857142858,1181.7142857142858,NA
2022-23,46,0.9430478395840513,93435.42857142857,99078.14285714286,242.57142857142858,4005,3189.1428571428573,0.7962903513465311,47060.42857142857,19065.285714285714,344,29.285714285714285,0,2.2857142857142856,1837.5714285714287,1431.4285714285713,NA
2022-23,47,0.9452627821177745,93810.71428571429,99243,215.85714285714286,3994.714285714286,3181.4285714285716,0.7964095411794156,47386.142857142855,18806.714285714286,481.85714285714283,38,0,1.4285714285714286,1801.4285714285713,1627,NA
2022-23,48,0.9450553867887148,94040.57142857143,99508,178.57142857142858,4007.714285714286,3212.1428571428573,0.8014899836030513,48062.857142857145,18812.571428571428,712.2857142857143,59.714285714285715,0,3.7142857142857144,1799.7142857142858,1613.7142857142858,NA
2022-23,49,0.9449403482219126,94185.71428571429,99673.71428571429,231.71428571428572,4026,3223.285714285714,0.8006174153715138,48359.42857142857,18943.14285714286,1161.5714285714287,86.57142857142857,0,2.142857142857143,1806.857142857143,1790.5714285714287,NA
2022-23,50,0.9443703921473485,94532.28571428571,100100.85714285714,255.57142857142858,4031,3289.285714285714,0.8159974483467413,48646.57142857143,19114.14285714286,1939,148.85714285714286,0,1.7142857142857142,1675.142857142857,2339.8571428571427,NA
2022-23,51,0.9305130510478145,92998,99942.71428571429,284.57142857142856,4053.285714285714,3311.5714285714284,0.8170091283967151,46481.57142857143,18143.571428571428,3479,267.14285714285717,0,2.4285714285714284,1759,1990.2857142857142,NA
2022-23,52,0.9320638159038259,93458.57142857143,100270.57142857143,289.14285714285717,4039.1428571428573,3291.4285714285716,0.814882931314989,49214.71428571428,18307,5105.285714285715,335.7142857142857,0,2.4285714285714284,1766.857142857143,2674.285714285714,NA
