Date,Occupancy rate,G&A beds occ'd,G&A Beds Open,G&A beds unavailable to non-covid admissions “void”,CC Adult Open,CC Adult Occ,Critical care beds occupancy rate,No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),No. beds occupied by flu patients (G&A),No. beds occupied by flu patients (Critical Care),Closures,Diverts,Delays30,Delays60,No. unoccupied beds closed due to norovirus etc.,year,day_of_year
2021-12-05T00:00:00Z,0.9204552547803833,88476,96122,NA,4107,3229,0.786218651083516,41357,15053,33,3,0,7,1557,999,NA,2021-22,2022-12-05
2022-01-28T00:00:00Z,0.9235236575194358,89688,97115,NA,4090,3072,0.7511002444987775,44183,17270,33,2,0,2,1516,1112,NA,2021-22,2023-01-28
2022-01-29T00:00:00Z,0.9114728313171974,88082,96637,NA,4070,3050,0.7493857493857494,43077,17043,36,2,0,1,1402,928,NA,2021-22,2023-01-29
2022-01-30T00:00:00Z,0.9084240000826591,87920,96783,NA,4049,2967,0.7327735243269943,43507,17239,41,1,0,4,1257,828,NA,2021-22,2023-01-30
2022-01-31T00:00:00Z,0.9228639686657302,90006,97529,NA,4061,2947,0.7256833292292538,44905,17653,40,2,0,2,1459,1365,NA,2021-22,2023-01-31
2022-02-01T00:00:00Z,0.9337505505423482,91163,97631,NA,4070,3071,0.7545454545454545,45751,17753,36,2,0,1,1653,1303,NA,2021-22,2023-02-01
2022-02-02T00:00:00Z,0.9350569469076445,91212,97547,NA,4085,3119,0.7635250917992656,45608,17644,31,2,0,1,1531,1183,NA,2021-22,2023-02-02
2022-02-03T00:00:00Z,0.9315423191075632,91021,97710,NA,4085,3108,0.7608323133414933,45028,17505,32,2,0,3,1645,1129,NA,2021-22,2023-02-03
2022-02-04T00:00:00Z,0.9285018007941964,90489,97457,NA,4099,3130,0.763600878262991,44469,17267,34,1,0,1,1511,1235,NA,2021-22,2023-02-04
2022-02-05T00:00:00Z,0.9157692981461826,88869,97043,NA,4102,3086,0.7523159434422233,43285,16898,33,3,0,2,1409,828,NA,2021-22,2023-02-05
2022-02-06T00:00:00Z,0.9131353965782173,88544,96967,NA,4083,2987,0.7315699240754348,43538,16992,29,3,0,3,1260,682,NA,2021-22,2023-02-06
2021-12-06T00:00:00Z,0.9299106958283375,89967,96748,NA,4083,3180,0.7788390889052168,43110,15514,23,2,0,3,1627,1511,NA,2021-22,2022-12-06
2022-02-07T00:00:00Z,0.9240510219763332,90192,97605,NA,4044,2929,0.7242828882294757,44932,17336,28,3,0,5,1624,1189,NA,2021-22,2023-02-07
2022-02-08T00:00:00Z,0.9319142851306355,91240,97906,NA,4096,3071,0.749755859375,45747,17439,31,3,0,2,1554,1311,NA,2021-22,2023-02-08
2022-02-09T00:00:00Z,0.9312078466853101,90573,97264,NA,4032,3115,0.7725694444444444,45086,17266,30,4,0,6,1501,1104,NA,2021-22,2023-02-09
2022-02-10T00:00:00Z,0.9296067531397982,90302,97140,NA,4052,3158,0.7793682132280355,44469,17047,26,1,0,2,1474,960,NA,2021-22,2023-02-10
2022-02-11T00:00:00Z,0.9248284756254836,89639,96925,NA,4072,3119,0.7659626719056974,44237,16961,22,3,0,1,1486,957,NA,2021-22,2023-02-11
2022-02-12T00:00:00Z,0.910468076263702,87628,96245,NA,4044,3049,0.7539564787339268,42883,16539,22,1,0,2,1358,665,NA,2021-22,2023-02-12
2022-02-13T00:00:00Z,0.9085401278114367,87576,96392,NA,4039,2942,0.7283981183461253,43177,16821,19,1,0,5,1211,669,NA,2021-22,2023-02-13
2022-02-14T00:00:00Z,0.9230714058833775,90089,97597,NA,4048,2919,0.7210968379446641,44967,17278,23,2,0,2,1566,1304,NA,2021-22,2023-02-14
2022-02-15T00:00:00Z,0.9309121034221777,91019,97774,NA,4014,3003,0.7481315396113603,45259,17263,24,1,0,5,1666,1203,NA,2021-22,2023-02-15
2022-02-16T00:00:00Z,0.9308615494612124,91136,97905,NA,4027,3072,0.7628507573876335,45088,17226,29,1,0,5,1585,1224,NA,2021-22,2023-02-16
2021-12-07T00:00:00Z,0.9392530589945263,91116,97009,NA,4177,3356,0.8034474503231984,43863,15676,16,1,0,0,1596,1431,NA,2021-22,2022-12-07
2022-02-17T00:00:00Z,0.9306544366247536,91112,97901,NA,4043,3109,0.7689834281474153,44545,17109,35,2,0,4,1523,1005,NA,2021-22,2023-02-17
2022-02-18T00:00:00Z,0.9234039074634186,90368,97864,NA,4090,3155,0.7713936430317848,44253,16937,26,2,0,4,1452,881,NA,2021-22,2023-02-18
2022-02-19T00:00:00Z,0.9118723661680116,88934,97529,NA,4075,3077,0.7550920245398773,42677,16446,23,4,0,6,1324,780,NA,2021-22,2023-02-19
2022-02-20T00:00:00Z,0.9078305598819575,88597,97592,NA,4041,2973,0.7357089829250185,43344,16828,26,2,0,6,1470,795,NA,2021-22,2023-02-20
2022-02-21T00:00:00Z,0.9236625619539114,90385,97855,NA,4019,2955,0.7352575267479472,45033,17356,28,2,0,1,1676,1405,NA,2021-22,2023-02-21
2022-02-22T00:00:00Z,0.9312676285804474,91457,98207,NA,4047,3068,0.7580924141339264,45620,17483,31,2,0,6,1746,1311,NA,2021-22,2023-02-22
2022-02-23T00:00:00Z,0.9310239553864001,91488,98266,NA,4080,3126,0.7661764705882353,45519,17311,27,3,0,4,1765,1169,NA,2021-22,2023-02-23
2022-02-24T00:00:00Z,0.9284417333115718,91017,98032,NA,4078,3147,0.7717018146150073,45044,17150,31,4,0,3,1697,1004,NA,2021-22,2023-02-24
2022-02-25T00:00:00Z,0.9236571871873915,90487,97966,NA,4069,3099,0.7616121897272057,44398,17039,33,3,0,2,1532,993,NA,2021-22,2023-02-25
2022-02-26T00:00:00Z,0.9093052096465066,88720,97569,NA,4065,3034,0.7463714637146371,43516,16762,41,2,0,2,1370,797,NA,2021-22,2023-02-26
2021-12-08T00:00:00Z,0.9402722293151023,91323,97124,NA,4175,3419,0.8189221556886227,43786,15572,27,0,0,2,1646,1197,NA,2021-22,2022-12-08
2022-02-27T00:00:00Z,0.9098322771484034,88584,97363,NA,4018,2937,0.7309606769537084,43907,16976,48,1,0,4,1284,751,NA,2021-22,2023-02-27
2022-02-28T00:00:00Z,0.9253891517870831,90541,97841,NA,4017,2894,0.720438137913866,45493,17433,47,3,0,2,1677,1483,NA,2021-22,2023-02-28
2022-03-01T00:00:00Z,0.9339772588335983,91668,98148,NA,4064,3071,0.7556594488188977,46088,17581,51,3,0,5,1733,1283,NA,2021-22,2023-03-01
2022-03-02T00:00:00Z,0.9335024036502892,91655,98184,NA,4092,3133,0.7656402737047898,45724,17497,48,3,0,5,1673,1106,NA,2021-22,2023-03-02
2022-03-03T00:00:00Z,0.9309131698363331,91290,98065,NA,4072,3107,0.763015717092338,44913,17148,48,3,0,3,1619,1090,NA,2021-22,2023-03-03
2022-03-04T00:00:00Z,0.9277317973953165,90683,97747,NA,4080,3121,0.7649509803921568,44346,17014,45,8,0,1,1543,1110,NA,2021-22,2023-03-04
2022-03-05T00:00:00Z,0.9112381030690484,88658,97294,NA,4072,3041,0.7468074656188605,43035,16702,50,6,0,4,1440,804,NA,2021-22,2023-03-05
2022-03-06T00:00:00Z,0.9106650762966314,88564,97252,NA,4063,2938,0.7231110017228649,42907,16747,50,5,0,3,1442,796,NA,2021-22,2023-03-06
2022-03-07T00:00:00Z,0.924806035143672,90471,97827,NA,4033,2909,0.7212992809323084,44612,17179,45,5,0,3,1710,1418,NA,2021-22,2023-03-07
2022-03-08T00:00:00Z,0.9349090497318331,90818,97141,NA,3962,2910,0.7344775365976779,44849,17084,55,7,0,1,1810,1490,NA,2021-22,2023-03-08
2022-03-28T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,2021-22,2023-03-28
2022-03-29T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,2021-22,2023-03-29
2022-03-30T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,2021-22,2023-03-30
2022-03-31T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,2021-22,2023-03-31
2022-04-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,2021-22,2023-04-01
2022-04-02T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,2021-22,2023-04-02
2022-04-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,2021-22,2023-04-03
2020-11-02T00:00:00Z,0.863878386541086,77229,89398,NA,4212,2960,0.7027540360873694,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-02
2020-11-03T00:00:00Z,0.8839233764489997,78998,89372,NA,4135,3044,0.7361547762998791,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-03
2020-11-04T00:00:00Z,0.8839050427800891,78824,89177,NA,4133,3103,0.7507863537382047,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-04
2020-11-05T00:00:00Z,0.8776650030841698,78257,89165,NA,4139,3098,0.7484899734235323,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-05
2020-11-06T00:00:00Z,0.873380712486506,77668,88928,NA,4192,3131,0.7468988549618321,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-06
2020-11-07T00:00:00Z,0.8574498891452875,75802,88404,NA,4209,3120,0.7412687099073414,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-07
2020-11-08T00:00:00Z,0.8572367600893049,75640,88237,NA,4208,3081,0.7321768060836502,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-08
2020-11-09T00:00:00Z,0.8727723050942865,77524,88825,NA,4168,3055,0.7329654510556622,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-09
2020-11-10T00:00:00Z,0.890686444760635,79500,89257,NA,4192,3171,0.7564408396946565,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-10
2020-11-11T00:00:00Z,0.8894166143919706,79400,89272,NA,4228,3218,0.761116367076632,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-11
2020-11-12T00:00:00Z,0.8913373262464743,79321,88991,NA,4185,3253,0.777299880525687,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-12
2020-11-13T00:00:00Z,0.8851466201384589,78632,88835,NA,4237,3301,0.7790889780505075,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-13
2020-11-14T00:00:00Z,0.865677205109959,76641,88533,NA,4272,3260,0.7631086142322098,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-14
2020-11-15T00:00:00Z,0.8622935987333182,76244,88420,NA,4277,3173,0.7418751461304652,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-15
2020-11-16T00:00:00Z,0.8793115093659942,78111,88832,NA,4280,3159,0.7380841121495327,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-16
2020-11-17T00:00:00Z,0.8928395504007881,79752,89324,NA,4342,3301,0.7602487333026255,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-17
