day_of_year,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2021-12-03,0,0.9413015608147982,0,96403,98282,88559,91533,92513,78127,0.8241639697950378,0.8718626155878467,0.802603036876356,NA,NA,NA,NA,NA,NA
2021-12-04,0,0.9406975083158174,0,96628,98006,92834,92194,92229,84373,0.8407008086253369,0.8488308863512779,0.8104613576256244,NA,NA,NA,NA,NA,NA
2021-12-05,0,0.9518415319925021,0,96702,98695,96173,92012.5,93942,91143,0.8439792059843041,0.862665585293322,0.8384030418250951,NA,NA,NA,NA,NA,NA
2021-12-06,0,0.9542795254868618,0,96444,98796,95781,91681,94279,90124,0.8428178991108053,0.869938321265755,0.8223864258347017,NA,NA,NA,NA,NA,NA
2021-12-07,0,0.9591985990935311,0,96575,99586,95906,92026,95087,89333,0.8480749219562955,0.8716306378436082,0.8095369349503859,NA,NA,NA,NA,NA,NA
2021-12-08,0,0.9577510995376304,0,96593,97541,95414,91929,93420,89021,0.834946087918164,0.8674282678002125,0.8018092105263158,NA,NA,NA,NA,NA,NA
2021-12-09,0,0.9523513590610865,0,95756,98156,92522,89822,93479,85945,0.835236541598695,0.8624143384290985,0.7905386929176921,NA,NA,NA,NA,NA,NA
2021-12-10,0,0.948253257493243,0,96290,99156,90872,91324,94025,84243,0.850244167118828,0.928006544859558,0.8259620907524411,NA,NA,NA,NA,NA,NA
2021-12-11,0,0.9430169208745713,0,97099,98398,96295,92552,92969,91034,0.8427397260273972,0.8559436772271866,0.8272972972972973,NA,NA,NA,NA,NA,NA
2021-12-12,0,0.9549827536051199,0,96636,97396,96204,92335,92904,90584,0.8477203903614359,0.8741998330086279,0.8333333333333334,NA,NA,NA,NA,NA,NA
2021-12-13,0,0.9558198190686622,0,96202.5,96900,95929,91297.5,92263,89723,0.856842565410449,0.875627440044618,0.8332883733477205,NA,NA,NA,NA,NA,NA
2021-12-14,0,0.9465530279804607,0,96462,99323,95285,91992,93720,87584,0.8523647765874053,0.8663594470046083,0.7979274611398963,NA,NA,NA,NA,NA,NA
2021-12-15,0,0.9548421976049126,0,96635,98034,94442,91777,93607,86604,0.8484516305837215,0.8688054251434533,0.7916666666666666,NA,NA,NA,NA,NA,NA
2021-12-16,0,0.9454933193183885,0,95604,98942,91601,88932,93549,84740,0.8459664320519762,0.8751303441084463,0.7793555434188968,NA,NA,NA,NA,NA,NA
2021-12-17,0,0.9469859737311497,0,96115,98672,89091,90630,93441,81862,0.8409153570443894,0.8628771551724138,0.8206168831168831,NA,NA,NA,NA,NA,NA
2021-12-18,0,0.9354299061487311,0,96793,98859,95044,91971,92316,88907,0.8251012145748988,0.863021115322144,0.8175163398692811,NA,NA,NA,NA,NA,NA
2021-12-19,0,0.9430890924229809,0,96617.5,97230,95929,91413,92296,89766,0.8450452249881912,0.8652694610778443,0.8273972602739726,NA,NA,NA,NA,NA,NA
2021-12-20,0,0.9349163573498754,0,96818,98335,95605,90512,91935,88310,0.834750542357126,0.8423269281389839,0.8230040595399188,NA,NA,NA,NA,NA,NA
2021-12-21,0,0.9332506153411613,0,96564,99132,94822,89170,92515,84689,0.8349514563106796,0.8361477572559367,0.8068150590821654,NA,NA,NA,NA,NA,NA
2021-12-22,0,0.9157696092854316,0,96662,98563,93943,88300,90261,82565,0.806836679327184,0.8365029054410987,0.7906655619994477,NA,NA,NA,NA,NA,NA
2021-12-23,0,0.8716803253435209,0,94753,97374,91134,83081,88499,76863,0.7981522956326987,0.8179675222629649,0.761001100110011,NA,NA,NA,NA,NA,NA
2021-12-24,0,0.9001899355054163,0,94336,95822,89968,76854,86258,73786,0.7793880837359098,0.7831225948323255,0.753913759956056,NA,NA,NA,NA,NA,NA
2021-12-25,0,0.8356531983593681,0,94524,95140,91672,78932.5,82311,76606,0.7631850237338232,0.7671797691039033,0.7427944002195992,NA,NA,NA,NA,NA,NA
2021-12-26,0,0.8647170657723282,0,94952,95609,93626,82752.5,86072,80960,0.777181045741096,0.7843886462882096,0.7420951333516634,NA,NA,NA,NA,NA,NA
2021-12-27,0,0.905040823571175,0,95828.5,96602,94864,86858.5,89281,84895,0.7900264466862827,0.8253405994550409,0.7766857766857767,NA,NA,NA,NA,NA,NA
2021-12-28,0,0.923823150374948,0,96507,98547,94909,89415.5,91040,85383,0.8127988116332925,0.8467588825603471,0.7955725608089642,NA,NA,NA,NA,NA,NA
2021-12-29,0,0.9290922347794386,0,97238,98748,94860,90424,91746,86329,0.8169348456871538,0.8379228953579858,0.7802137571937517,NA,NA,NA,NA,NA,NA
2021-12-30,0,0.9199171732832837,0,96735,98036,95104,90082,91985,87642,0.8228283898305084,0.8478664192949907,0.7829308452250274,NA,NA,NA,NA,NA,NA
2021-12-31,0,0.9274328162978437,0,95772,102443,95167,89514,95009,87678,0.8249250068175621,0.8415620641562064,0.8194291986827662,NA,NA,NA,NA,NA,NA
2022-01-01,0,0.9355998453225756,0,96628.5,98007,95683,90244.5,92994,88686,0.8097546555693437,0.8405288720992984,0.7661841027041791,NA,NA,NA,NA,NA,NA
2022-01-02,0,0.9324220549838734,0,97754.5,99116,96366,91780,94847,90335,0.8362706747830553,0.8828293736501079,0.8249534450651769,NA,NA,NA,NA,NA,NA
2022-01-03,0,0.9424728277187293,0,97881,99918,96014,92481.5,95015,90589,0.8593093347625399,0.8784619521376714,0.8322510822510822,NA,NA,NA,NA,NA,NA
