Date,Name,Occupancy rate,G&A beds occ'd,G&A Beds Open,Critical care beds occupancy rate,No. beds occupied by flu patients (Critical Care),No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),day_of_year
2021-11-30T00:00:00Z,Bradford Teaching Hospitals NHS Foundation Trust,0.9699115044247788,548,565,1,0,230,69,2021-11-30
2021-12-01T00:00:00Z,Bradford Teaching Hospitals NHS Foundation Trust,0.9597902097902098,549,572,1,0,228,73,2021-12-01
2021-12-02T00:00:00Z,Bradford Teaching Hospitals NHS Foundation Trust,0.9631578947368421,549,570,0.9230769230769231,0,218,73,2021-12-02
2021-12-03T00:00:00Z,Bradford Teaching Hospitals NHS Foundation Trust,0.9372822299651568,538,574,0.9230769230769231,0,218,75,2021-12-03
2021-12-04T00:00:00Z,Bradford Teaching Hospitals NHS Foundation Trust,0.921875,531,576,0.9090909090909091,0,212,74,2021-12-04
2021-12-05T00:00:00Z,Bradford Teaching Hospitals NHS Foundation Trust,0.9066213921901528,534,589,0.8181818181818182,0,207,72,2021-12-05
2021-11-29T00:00:00Z,Mid and South Essex NHS Foundation Trust,0.9393586005830904,1611,1715,0.9252336448598131,0,739,234,2021-11-29
2021-11-30T00:00:00Z,Mid and South Essex NHS Foundation Trust,0.9451255107997665,1619,1713,0.8828828828828829,0,760,239,2021-11-30
2021-12-01T00:00:00Z,Mid and South Essex NHS Foundation Trust,0.9545454545454546,1638,1716,0.8736842105263158,0,759,239,2021-12-01
2021-12-02T00:00:00Z,Mid and South Essex NHS Foundation Trust,0.9516317016317016,1633,1716,0.8842105263157894,0,755,241,2021-12-02
2021-12-03T00:00:00Z,Mid and South Essex NHS Foundation Trust,0.9504662004662005,1631,1716,0.8777777777777778,0,755,243,2021-12-03
2021-12-04T00:00:00Z,Mid and South Essex NHS Foundation Trust,0.9504662004662005,1631,1716,0.8817204301075269,0,739,244,2021-12-04
2021-12-05T00:00:00Z,Mid and South Essex NHS Foundation Trust,0.9480369515011547,1642,1732,0.851063829787234,0,753,253,2021-12-05
2021-11-29T00:00:00Z,Royal Free London NHS Foundation Trust,0.9722530521642619,876,901,0.9016393442622951,0,0,0,2021-11-29
2021-11-30T00:00:00Z,Royal Free London NHS Foundation Trust,0.9877232142857143,885,896,0.855072463768116,0,0,0,2021-11-30
2021-12-01T00:00:00Z,Royal Free London NHS Foundation Trust,0.9855875831485588,889,902,0.828125,0,490,169,2021-12-01
